transaction_id,timestamp,customer_id,merchant_id,amount,currency,payment_method,processor_pathway,status,failure_reason,chargeback_reason,merchant_type,fraud_risk_score,device_type,network_type,location,transaction_type,hour_of_day,day_of_week,is_weekend,time_since_last_transaction
TXN_00059887,2025-01-02 04:37:17,CUST_000000,MERCH_0025,1297.9842326628764,USD,Bank_Transfer,Card_Verve,Success,None,None,Retail,0.8306857515028252,Desktop,3G,Ibadan,Refund,4,3,0,3600.0
TXN_00014764,2025-01-02 22:28:11,CUST_000000,MERCH_0287,1763.952954318669,NGN,USSD,Card_Mastercard,Success,None,None,Food,0.45465306903100366,Desktop,4G,Abuja,Transfer,22,3,0,64254.0
TXN_00030007,2025-01-03 00:04:17,CUST_000000,MERCH_0351,16005.296035139956,USD,Mobile_Money,Mobile_Money_Paga,Success,None,None,E-commerce,0.2468741386976474,Mobile,3G,Kano,Transfer,0,4,0,5766.0
TXN_00025349,2025-01-03 18:49:21,CUST_000000,MERCH_0129,1609.7038909025046,USD,USSD,Bank_Transfer_Zenith,Success,None,None,Retail,0.5618904328460271,Mobile,3G,Ibadan,Refund,18,4,0,67504.0
TXN_00009551,2025-01-12 07:24:53,CUST_000000,MERCH_0057,1821.8232987160336,NGN,Card,Card_Verve,Success,None,None,Travel,0.15497028212503416,POS,3G,Abuja,Transfer,7,6,1,736532.0
TXN_00008555,2025-01-12 20:48:24,CUST_000000,MERCH_0005,2201.0571941710577,EUR,Bank_Transfer,USSD_MTN,Success,None,None,Services,0.9343530713569328,POS,3G,Port Harcourt,Transfer,20,6,1,48211.0
TXN_00040403,2025-01-13 07:36:50,CUST_000000,MERCH_0292,4091.291430750688,USD,Card,Bank_Transfer_Zenith,Success,None,None,E-commerce,0.5571353304414014,Mobile,WiFi,Ibadan,Purchase,7,0,0,38906.0
TXN_00098488,2025-01-13 17:40:58,CUST_000000,MERCH_0173,1847.4277118815648,NGN,Bank_Transfer,Bank_Transfer_GTBank,Success,None,None,Retail,0.16987710929983646,Desktop,WiFi,Port Harcourt,Purchase,17,0,0,36248.0
TXN_00055129,2025-01-14 07:34:31,CUST_000000,MERCH_0246,11873.438778886697,USD,Card,Mobile_Money_OPay,Success,None,None,Travel,0.33838784521264587,Tablet,WiFi,Kano,Purchase,7,1,0,50013.0
TXN_00044175,2025-01-16 07:04:40,CUST_000000,MERCH_0083,2217.0343350847656,EUR,Card,USSD_Airtel,Success,None,None,Retail,0.8383530966566991,Tablet,WiFi,Lagos,Transfer,7,3,0,171009.0
