processor_pathway,cost,latency,success_rate,network_stability,timestamp,availability,failure_reason
Bank_Transfer_FirstBank,0.04556394488965582,1252.1157921611493,0.9240927644224467,0.8506344318490124,2025-03-01 11:08:45,1.0,None
Mobile_Money_Paga,0.03491357436486951,1971.7236481020957,0.9864488542593285,0.978513427784343,2025-06-28 03:29:54,1.0,None
Mobile_Money_OPay,0.04385492194608506,1011.4119852663388,0.955676493983543,0.9159923022394998,2025-06-10 18:02:45,1.0,None
Card_Mastercard,0.041658570671217664,709.5440473168167,0.9844830005387529,0.9042824505849341,2025-01-21 18:41:49,1.0,None
Card_Visa,0.010267853309806037,1543.0768828276528,0.995818090643608,0.8983681170246268,2025-06-08 17:23:26,1.0,None
USSD_Airtel,0.02288013336976831,1853.7024593900921,0.923251938702664,0.8600309508701454,2025-06-08 15:30:03,1.0,None
Mobile_Money_Paga,0.027183640539346333,337.19406263952504,0.992397574357853,0.8506033470348644,2025-04-25 14:51:22,1.0,None
Card_Visa,0.03811376693288454,1659.761959243725,0.969276805884583,0.9921834008707615,2025-02-07 02:31:01,1.0,None
Mobile_Money_OPay,0.017098821845052053,486.8385055342428,0.9448286307913886,0.8660674231157405,2025-06-18 20:50:35,1.0,None
Bank_Transfer_Zenith,0.04324389539402595,1504.0625121449234,0.9515665736411377,0.9644301989484428,2025-03-30 03:34:19,1.0,None
Mobile_Money_OPay,0.03286975611577367,1120.2865043727797,0.9912900295833501,0.9540160915858715,2025-04-07 22:06:38,1.0,None
USSD_MTN,0.03355783328322977,109.64195374214856,0.9156750544532678,0.9416533056414376,2025-02-18 15:29:08,1.0,None
USSD_Airtel,0.022580545446266094,453.36199109008885,0.991784481350295,0.9373451122448867,2025-03-26 11:11:19,1.0,None
Bank_Transfer_FirstBank,0.030423194435845055,1313.03325258016,0.9710686498081667,0.9203145044933599,2025-06-13 22:56:54,1.0,None
USSD_MTN,0.016576788718276565,1139.0991748106171,0.9370689054799197,0.9806536040370336,2025-03-20 05:46:34,1.0,None
Card_Verve,0.03029534959545195,184.40311522480005,0.9086775367646313,0.975281285183646,2025-04-07 00:03:08,1.0,None
Mobile_Money_OPay,0.020065575558295176,1135.9155482745575,0.9744761061367112,0.8694065989482447,2025-02-26 21:42:30,1.0,None
Bank_Transfer_Zenith,0.046021158176907974,1211.0321648112435,0.9900710392141239,0.9821817983304688,2025-03-15 03:09:16,1.0,None
Bank_Transfer_Zenith,0.04529613961375243,1493.7829368776186,0.9284232749951079,0.979891525772592,2025-01-10 00:47:19,1.0,None
Bank_Transfer_GTBank,0.018230957629624157,176.86310207224992,0.9259014484709193,0.9997016466971899,2025-07-19 02:54:24,1.0,None
Card_Mastercard,0.043353219105634354,1130.285203580983,0.952157594221921,0.8792658322080937,2025-02-18 10:27:24,1.0,None
